brick,れんが,1
railing,手すり,2
fund,資金,3
drawer,引き出し,4
branch,支店,5
clerk,店員,6
fuel,燃料,7
baggage,手荷物,8
saving,貯金,9
confirm,確認する,10
deliver,配達する,11
recognize,識別する,12
temporary,一時的な,13
successful,成功した,14
essential,不可欠の,15
crowded,混雑した,16
additional,追加の,17
cummon,共通の,18
comfortable,快適な,19
permanent,永久的な,20
expensive,高価な,21
border,国境,22
exchange,交換,23
confidence,信頼,24
effort,努力,25
law,法律,26
variety,種類,27
bush,茂み,28
cupboard,戸棚,29
disappointment,失望,30
flood,洪水,31
witness,目撃者,32
aim,目標,33
dismiss,解雇する,34
found,設立する,35
occur,起こる,36
pile,積み上げる,37
gain,得る,38
settle,解決する,39
importance,重要性,40
reform,改善する,41
unload,降ろす,42
dig,掘る,43
climb,登る,44
greet,挨拶する,45
display,展示する,46
fire,解雇する,47
celebrate,祝う,48
interrupt,遮る,49
admit,認める,50
consider,よく考える,51
head,率いる,52
import,輸入する,53
satisfy,満足させる,54
warn,警告する,55
oppose,反対する,56
appear,のように見える,57
decide,決定する,58
polish,磨く,59
prefer,好む,60
ruin,台無しにする,61
select,選ぶ,62
rise,上がる,63
survive,生き残る,64
train,訓練する,65
behave,振る舞う,66
afford,買う余裕がある,67
treat,扱う,68
cure,治す,69
disappoint,失望させる,70
ignore,無視する,71
defend,擁護する,72
exist,存在する,73
active,積極的な,74
actual,実際の,75
rapid,急な,76
daily,毎日の,77
bold,大胆な,78
fixed,固定した,79
favorite,お気に入りの,80
vague,はっきりしない,81
pleasant,楽しい,82
bright,明るい,83
tough,困難な,84
brilliant,優秀な,85
electric,電気の,86
particularly,特に,87
actually,実際は,88
highly,非常に,89
likely,恐らく,90
reject,拒絶する,91
replace,取り換える,92
sign,署名する,93
sweep,掃除する,94
attend,出席する,95
reduce,減らす,96
serve,食事を出す,97
claim,主張する,98
recommend,推薦する,99
repair,修理する,100
argue,議論する,101